id_manutencao,id_rebocador,data_manutencao,tipo_manutencao,componente_afetado,custo_reparo_reais,dias_inativo
1,1,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,89119,6
2,3,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,64789,6
3,4,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,83078,7
4,10,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,70032,12
5,13,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,42045,7
6,14,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,70708,6
7,26,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,42686,9
8,30,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,73886,5
9,31,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,51906,10
10,34,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,79989,6
11,60,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,74898,10
12,64,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,81033,10
13,71,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,51613,11
14,78,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,82205,12
15,79,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,25373,10
16,76,2024-01-01,Corretiva Nao Planejada,Sistema de Propulsão,83585,10
17,36,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,63347,11
18,1,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,77751,6
19,3,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,46940,9
20,4,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,36443,5
21,10,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,41819,8
22,14,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,66197,11
23,31,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,79170,11
24,60,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,34912,10
25,64,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,53851,5
26,71,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,35485,11
27,79,2024-01-02,Corretiva Nao Planejada,Sistema de Propulsão,62735,5
28,36,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,40623,5
29,1,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,39924,6
30,3,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,73473,8
31,4,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,63597,10
32,10,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,66596,7
33,14,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,82085,7
34,64,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,30189,6
35,79,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,73437,12
36,71,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,70249,11
37,31,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,83317,10
38,76,2024-01-03,Corretiva Nao Planejada,Sistema de Propulsão,25669,9
39,60,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,81576,11
40,36,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,80014,12
41,1,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,44448,6
42,3,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,41512,8
43,4,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,55035,5
44,14,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,31545,12
45,76,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,74022,8
46,79,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,53376,10
47,10,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,30405,12
48,31,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,43525,11
